Номер шага	Время	Критерий останова #0
1	0.25	-3.24504e-09
2	0.5	-3.2421e-06
3	0.75	-2.54252e-07
4	1	-1.36972e-07
5	1.25	-1.11945e-07
6	1.5	-1.03724e-07
7	1.75	-9.61296e-08
8	2	-9.13825e-08
9	2.25	-8.65224e-08
10	2.5	-8.27636e-08
11	2.75	-7.91216e-08
12	3	-7.59402e-08
13	3.25	-7.30535e-08
14	3.5	-7.04475e-08
15	3.75	-6.81079e-08
16	4	-6.59582e-08
17	4.25	-6.40285e-08
18	4.5	-6.22281e-08
19	4.75	-6.06477e-08
20	5	-5.91044e-08
21	5.25	-5.77911e-08
22	5.5	-5.64732e-08
23	5.75	-5.53635e-08
24	6	-5.42079e-08
25	6.25	-5.32695e-08
26	6.5	-5.22841e-08
27	6.75	-5.14744e-08
28	7	-5.06183e-08
29	7.25	-4.99164e-08
30	7.5	-4.91643e-08
31	7.75	-4.85555e-08
32	8	-4.7889e-08
33	8.25	-4.73574e-08
34	8.5	-4.67569e-08
35	8.75	-4.62806e-08
36	9	-4.57421e-08
37	9.25	-4.53196e-08
38	9.5	-4.48322e-08
39	9.75	-4.44505e-08
40	10	-4.40114e-08
41	10.25	-4.36658e-08
42	10.5	-4.32669e-08
43	10.75	-4.29486e-08
44	11	-4.25859e-08
45	11.25	-4.22956e-08
46	11.5	-4.19592e-08
47	11.75	-4.1694e-08
48	12	-4.13852e-08
49	12.25	-4.11384e-08
50	12.5	-4.08565e-08
51	12.75	-4.06256e-08
52	13	-4.03654e-08
53	13.25	-4.015e-08
